repo_name,total_resources,resource_types,nested_stacks,cross_stack_refs,custom_resources,sam_transforms,parameters,conditions,has_terraform,cfn_lines,aws_account_ids,app_ids
pge-crm-cicd-testautomation,11,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::CodeStarNotifications::NotificationRule|AWS::IAM::Policy|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,0,false,337,none,none
aws-transit-public-elb-crmis,26,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::Events::Rule|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SNS::Topic|AWS::SSM::Parameter|AWS::WAFv2::WebACLAssociation,0,4,2,false,2,5,false,1766,242937548904|514712703977|686137062481|757620174545,APP-2102
aws-transit-public-elb,36,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::Events::Rule|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SNS::Topic|AWS::SSM::Parameter|AWS::WAFv2::WebACLAssociation,0,8,2,false,4,6,false,2986,100538557244|223104556128|242937548904|514712703977|686137062481|757620174545,APP-2102
aws-transit-public-elb-geomart,25,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::Events::Rule|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SNS::Topic|AWS::SSM::Parameter|AWS::WAFv2::WebACLAssociation,0,4,2,false,2,6,false,1650,242937548904|514712703977|686137062481|757620174545,APP-2102
gis-gmcloud-hawc-batch-edlinemerge,2,AWS::IAM::Role|AWS::Lambda::Function|AWS::SSM::Parameter,0,0,0,false,1,0,false,372,none, !Ref
aws-bmc-discovery,9,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::Lambda::Function|AWS::S3::Bucket|AWS::SSM::Parameter,0,0,0,false,2,0,false,397,none,none
aws_obm_integration,22,AWS::ApiGateway::Deployment|AWS::ApiGateway::Method|AWS::ApiGateway::Model|AWS::ApiGateway::RequestValidator|AWS::ApiGateway::Resource|AWS::ApiGateway::RestApi|AWS::ApiGateway::Stage|AWS::ApiGatewayV2::ApiMapping|AWS::ApiGatewayV2::DomainName|AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::Events::EventBus|AWS::Events::EventBusPolicy|AWS::Events::Rule|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::Logs::LogGroup|AWS::S3::Bucket|AWS::SNS::Subscription|AWS::SNS::Topic|AWS::SNS::TopicPolicy|AWS::SSM::Parameter,0,0,1,false,3,0,false,1346,018250382163|514712703977,none
apptio-cloudability-automation,13,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::KMS::Alias|AWS::KMS::Key|AWS::Lambda::Function|AWS::S3::Bucket|AWS::SecretsManager::ResourcePolicy|AWS::SecretsManager::Secret|AWS::SSM::Parameter,0,0,0,false,3,0,false,987,686137062481,none
aws-health-aware,9,AWS::CloudFormation::Interface|AWS::CloudFormation::StackSet|AWS::DynamoDB::GlobalTable|AWS::DynamoDB::Table|AWS::Events::Rule|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::S3::Bucket|AWS::SecretsManager::Secret,1,0,1,false,2,48,true,952,none,APP-2102
aws-transit-public-elb-mule-cloudhub-mtls,30,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::Events::Rule|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SNS::Topic|AWS::SSM::Parameter|AWS::WAFv2::WebACLAssociation,0,8,2,false,2,8,false,2099,242937548904|514712703977|686137062481|757620174545,APP-2102
